,group,PBID,mon,tue,wed,thu,fri,sat,sun,total-brushes,twice-brushes,avg-brush-time
78,A,PB2500010644,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0,47.25
79,D,PB2500010636,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,24.05
80,C,PB2500010630,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0,37.75
81,B,PB2500010629,0.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,2,59.61
82,B,PB2500010548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
83,B,PB2500010542,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,0,61.03333333333333
84,C,PB2500010328,0.0,0.0,2.0,2.0,1.0,1.0,1.0,7.0,2,40.75714285714286
85,B,PB2500009814,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,22.0
86,D,PB2500009709,0.0,0.0,0.0,2.0,1.0,2.0,2.0,7.0,3,67.30714285714285
87,B,PB2500009705,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0,59.025000000000006
88,D,PB2500009583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
89,A,PB2500009543,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0,35.0
90,D,PB2500009446,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,2,54.42999999999999
91,C,PB2500009375,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2,68.25
92,B,PB2500009374,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0,33.699999999999996
93,B,PB2500009352,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,94.05000000000001
94,B,PB2500009228,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1,32.6
95,D,PB2500009220,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0,35.55
96,C,PB2500009210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
97,C,PB2500009201,0.0,1.0,2.0,2.0,2.0,2.0,2.0,11.0,5,83.95454545454545
98,D,PB2500009146,0.0,2.0,2.0,2.0,2.0,0.0,0.0,8.0,4,100.25
99,A,PB2500009132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
100,A,PB2500009123,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,0,40.22
101,C,PB2500009101,0.0,2.0,2.0,2.0,1.0,1.0,1.0,9.0,3,42.99444444444444
102,C,PB2500008956,0.0,0.0,0.0,1.0,2.0,1.0,2.0,6.0,2,62.875
103,C,PB2500008951,1.0,2.0,1.0,2.0,2.0,1.0,2.0,11.0,4,54.72727272727273
104,B,PB2500008867,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0,27.025
105,B,PB2500008854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
106,A,PB2500008778,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0,37.05
107,B,PB2500008735,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,35.05
108,D,PB2500008565,1.0,2.0,2.0,1.0,2.0,2.0,1.0,11.0,4,64.74545454545455
109,C,PB2500008549,0.0,1.0,1.0,1.0,1.0,1.0,2.0,7.0,1,45.16428571428571
110,A,PB2500008312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
111,C,PB2500008248,0.0,0.0,0.0,2.0,2.0,2.0,2.0,8.0,4,55.143750000000004
112,B,PB2500008209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
113,C,PB2500008196,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,1,50.410000000000004
114,D,PB2500008183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
